msa_file,tree,seq_len,execution_time_seconds,cpu_time_seconds,peak_ram_mb
BB11003,UPGMA,582,0.037732500000174696,0.03125,0.21484375
BB11003,NJ,582,0.0377922000000126,0.046875,0.02734375
BB11003,ML,582,0.2214733000000706,0.375,5.484375
BB11003,MP,582,0.06919110000012552,0.0625,0.22265625
BB11004,UPGMA,603,0.034017599999970116,0.03125,0.0234375
BB11004,NJ,603,0.033977300000060495,0.03125,0.0234375
BB11004,ML,603,0.17602609999994456,0.328125,0.23828125
BB11004,MP,603,0.09788290000005873,0.109375,0.0390625
BB11005,UPGMA,609,0.4703370000001996,0.46875,0.046875
BB11005,NJ,609,0.4702104000000418,0.484375,0.01953125
BB11005,ML,609,3.100688800000171,3.28125,0.6328125
BB11005,MP,609,4.694000999999844,4.6875,0.31640625
BB11006,UPGMA,385,0.0928016000000298,0.09375,0.0234375
BB11006,NJ,385,0.09202380000010635,0.09375,0.01953125
BB11006,ML,385,0.8075655000000097,1.0,0.07421875
BB11006,MP,385,0.5431218999999601,0.546875,0.0234375
BB11007,UPGMA,505,0.19292560000008052,0.1875,0.015625
BB11007,NJ,505,0.18683809999993173,0.1875,0.01953125
BB11007,ML,505,1.257614999999987,1.46875,0.0625
BB11007,MP,505,2.0092817000002015,2.0,0.015625
BB11008,UPGMA,559,0.02534220000006826,0.03125,0.01953125
BB11008,NJ,559,0.025817899999992733,0.015625,0.01953125
BB11008,ML,559,0.13760580000007394,0.25,0.02734375
BB11008,MP,559,0.08415719999993598,0.109375,0.0234375
BB11009,UPGMA,584,0.022326199999952223,0.015625,0.01953125
BB11009,NJ,584,0.02188320000004751,0.015625,0.015625
BB11009,ML,584,0.08198199999992539,0.140625,0.01953125
BB11009,MP,584,0.08495700000003126,0.15625,0.01953125
BB11010,UPGMA,609,0.0401704000000791,0.046875,0.01953125
BB11010,NJ,609,0.039105999999947016,0.046875,0.01953125
BB11010,ML,609,0.2128591000000597,0.40625,0.0546875
BB11010,MP,609,0.07198569999991378,0.078125,0.01953125
BB11011,UPGMA,289,0.02865150000002359,0.015625,0.01953125
BB11011,NJ,289,0.02832459999990533,0.015625,0.01953125
BB11011,ML,289,0.2597365000001446,0.46875,0.0234375
BB11011,MP,289,0.06018950000020595,0.0625,0.01953125
BB11012,UPGMA,410,0.02971490000004451,0.015625,0.01953125
BB11012,NJ,410,0.029452199999923323,0.03125,0.01953125
BB11012,ML,410,0.12273180000011052,0.234375,0.01953125
BB11012,MP,410,0.052399299999933646,0.09375,0.01953125
BB11013,UPGMA,115,0.012964699999884033,0.015625,0.01953125
BB11013,NJ,115,0.01281450000010409,0.015625,0.01953125
BB11013,ML,115,0.1335762999999588,0.25,0.01953125
BB11013,MP,115,0.040347900000142545,0.078125,0.01953125
BB11014,UPGMA,668,0.11025939999990442,0.09375,0.01953125
BB11014,NJ,668,0.10436709999999039,0.109375,0.01953125
