msa_file,tree,seq_len,taxa_count,cpu_time_seconds,peak_ram_mb
HKY_low_100_100,UPGMA,100,100,6.0,0.41796875
HKY_low_100_100,NJ,100,100,6.234375,0.0390625
HKY_low_100_100,ML,100,100,9.140625,6.77734375
HKY_low_100_1000,UPGMA,1000,100,58.046875,0.0390625
HKY_low_100_1000,NJ,1000,100,58.28125,0.01953125
HKY_low_100_1000,ML,1000,100,38.984375,1.6328125
HKY_low_100_250,UPGMA,250,100,14.4375,0.01953125
HKY_low_100_250,NJ,250,100,14.734375,0.01953125
HKY_low_100_250,ML,250,100,11.578125,0.1875
HKY_low_100_50,UPGMA,50,100,3.109375,0.01953125
HKY_low_100_50,NJ,50,100,3.390625,0.01953125
HKY_low_100_50,ML,50,100,22.140625,0.0234375
HKY_low_100_500,UPGMA,500,100,29.015625,0.01953125
HKY_low_100_500,NJ,500,100,29.25,0.04296875
HKY_low_100_500,ML,500,100,21.0,0.546875
HKY_low_10_100,UPGMA,100,10,0.0625,0.01953125
HKY_low_10_100,NJ,100,10,0.046875,0.015625
HKY_low_10_100,ML,100,10,0.296875,0.015625
HKY_low_10_1000,UPGMA,1000,10,0.546875,0.01953125
HKY_low_10_1000,NJ,1000,10,0.53125,0.01953125
HKY_low_10_1000,ML,1000,10,0.78125,0.015625
HKY_low_10_250,UPGMA,250,10,0.125,0.01953125
HKY_low_10_250,NJ,250,10,0.140625,0.01953125
HKY_low_10_250,ML,250,10,0.4375,0.01953125
HKY_low_10_50,UPGMA,50,10,0.03125,0.01953125
HKY_low_10_50,NJ,50,10,0.03125,0.01953125
HKY_low_10_50,ML,50,10,0.359375,0.015625
HKY_low_10_500,UPGMA,500,10,0.28125,0.01953125
HKY_low_10_500,NJ,500,10,0.28125,0.01953125
HKY_low_10_500,ML,500,10,0.609375,0.01953125
HKY_low_250_100,UPGMA,100,250,40.46875,0.84765625
HKY_low_250_100,NJ,100,250,43.765625,0.01953125
HKY_low_250_100,ML,100,250,71.40625,0.015625
HKY_low_250_250,UPGMA,250,250,92.71875,0.08203125
HKY_low_250_250,NJ,250,250,97.484375,0.0703125
HKY_low_250_250,ML,250,250,168.265625,0.421875
HKY_low_250_50,UPGMA,50,250,21.390625,0.01953125
HKY_low_250_50,NJ,50,250,25.5625,0.01953125
HKY_low_250_50,ML,50,250,76.625,0.0234375
HKY_low_500_50,UPGMA,50,500,101.515625,4.4453125
HKY_low_500_50,NJ,50,500,135.21875,2.18359375
HKY_low_500_50,ML,50,500,336.265625,2.15625
HKY_low_50_100,UPGMA,100,50,1.46875,0.01953125
HKY_low_50_100,NJ,100,50,1.484375,0.01953125
HKY_low_50_100,ML,100,50,2.375,0.625
HKY_low_50_1000,UPGMA,1000,50,14.234375,0.015625
HKY_low_50_1000,NJ,1000,50,14.34375,0.015625
HKY_low_50_1000,ML,1000,50,10.921875,0.12109375
HKY_low_50_250,UPGMA,250,50,3.546875,0.01953125
HKY_low_50_250,NJ,250,50,3.578125,0.01953125
HKY_low_50_250,ML,250,50,3.703125,0.03515625
HKY_low_50_50,UPGMA,50,50,0.734375,0.01953125
HKY_low_50_50,NJ,50,50,0.78125,0.01953125
HKY_low_50_50,ML,50,50,2.140625,0.01953125
HKY_low_50_500,UPGMA,500,50,7.09375,0.01953125
HKY_low_50_500,NJ,500,50,7.140625,0.01953125
HKY_low_50_500,ML,500,50,6.203125,0.03125
JC_high_100_100,UPGMA,430,100,11.515625,0.02734375
JC_high_100_100,NJ,430,100,11.75,0.015625
JC_high_100_100,UPGMA,430,100,11.546875,0.55859375
JC_high_100_100,NJ,430,100,11.90625,0.015625
JC_high_100_100,ML,430,100,66.078125,7.1640625
JC_high_100_100,MP,430,100,1578.953125,11.01171875
JC_high_100_250,UPGMA,934,100,25.515625,0.0234375
JC_high_100_250,NJ,934,100,25.625,0.01953125
JC_high_100_250,ML,934,100,158.734375,1.25
JC_high_100_250,MP,934,100,3240.984375,8.015625
JC_high_100_50,UPGMA,233,100,6.203125,0.02734375
JC_high_100_50,NJ,233,100,6.421875,0.01953125
JC_high_100_50,ML,233,100,53.4375,0.625
JC_high_100_50,MP,233,100,646.9374999999991,7.015625
JC_high_100_500,UPGMA,1995,100,53.828125,0.015625
JC_high_100_500,NJ,1995,100,54.203125,0.01953125
JC_high_100_500,ML,1995,100,172.2343750000009,0.078125
JC_high_100_500,MP,1995,100,9071.4375,6.0234375
JC_high_10_100,UPGMA,164,10,0.0625,0.01953125
JC_high_10_100,NJ,164,10,0.0625,0.015625
JC_high_10_100,ML,164,10,0.734375,0.19921875
JC_high_10_100,MP,164,10,0.703125,0.01953125
JC_high_10_1000,UPGMA,1360,10,0.546875,0.015625
JC_high_10_1000,NJ,1360,10,0.53125,0.01953125
JC_high_10_1000,ML,1360,10,2.09375,0.69140625
JC_high_10_1000,MP,1360,10,11.71875,0.01953125
JC_high_10_250,UPGMA,344,10,0.125,0.01953125
JC_high_10_250,NJ,344,10,0.140625,0.015625
JC_high_10_250,ML,344,10,1.375,0.0703125
JC_high_10_250,MP,344,10,1.03125,0.01953125
JC_high_10_50,UPGMA,57,10,0.03125,0.01953125
JC_high_10_50,NJ,57,10,0.03125,0.01953125
JC_high_10_50,ML,57,10,0.5,0.0234375
JC_high_10_50,MP,57,10,0.140625,0.01953125
JC_high_10_500,UPGMA,662,10,0.265625,0.01953125
JC_high_10_500,NJ,662,10,0.28125,0.01953125
JC_high_10_500,ML,662,10,1.71875,0.02734375
JC_high_10_500,MP,662,10,1.109375,0.01953125
JC_high_250_100,UPGMA,1370,250,181.390625,0.01953125
JC_high_250_100,NJ,1370,250,185.703125,0.01953125
JC_high_250_100,ML,1370,250,551.1718749999982,0.13671875
JC_low_100_100,UPGMA,100,100,5.875,0.54296875
JC_low_100_100,NJ,100,100,6.125,0.03515625
JC_low_100_100,ML,100,100,6.03125,6.46875
JC_low_100_100,MP,100,100,23.375,10.390625
JC_low_100_250,UPGMA,250,100,14.3125,0.03125
JC_low_100_250,NJ,250,100,14.625,0.01953125
JC_low_100_250,ML,250,100,10.765625,1.84765625
JC_low_100_250,MP,250,100,35.421875,8.09375
JC_low_100_50,UPGMA,50,100,3.046875,0.01953125
JC_low_100_50,NJ,50,100,3.3125,0.01953125
JC_low_100_50,ML,50,100,5.6875,0.03515625
JC_low_100_50,MP,50,100,39.78125,7.984375
JC_low_100_500,UPGMA,500,100,28.4375,0.01953125
JC_low_100_500,NJ,500,100,28.6875,0.01953125
JC_low_100_500,ML,500,100,19.34375,0.04296875
JC_low_100_500,MP,500,100,70.296875,7.2734375
JC_low_10_100,UPGMA,100,10,0.078125,0.01953125
JC_low_10_100,NJ,100,10,0.0625,0.01953125
JC_low_10_100,ML,100,10,0.265625,0.02734375
JC_low_10_100,MP,100,10,0.109375,0.015625
JC_low_10_1000,UPGMA,1000,10,0.515625,0.01953125
JC_low_10_1000,NJ,1000,10,0.53125,0.015625
JC_low_10_1000,ML,1000,10,0.703125,0.01953125
JC_low_10_1000,MP,1000,10,0.96875,0.01953125
JC_low_10_250,UPGMA,250,10,0.140625,0.01953125
JC_low_10_250,NJ,250,10,0.125,0.01953125
JC_low_10_250,ML,250,10,0.390625,0.01953125
JC_low_10_250,MP,250,10,0.25,0.01953125
JC_low_10_50,UPGMA,50,10,0.03125,0.01953125
JC_low_10_50,NJ,50,10,0.03125,0.01953125
JC_low_10_50,ML,50,10,0.28125,0.01953125
JC_low_10_50,MP,50,10,0.0625,0.01953125
