name,method,nRF_distance,b_corr,taxa_count,seq_len,p_corr
HKY_high_100_100_ML,ML,0.9898,-0.1128,100.0,342.0,0.0089
HKY_high_100_100_MP,MP,0.9898,-0.007,100.0,342.0,-0.0123
HKY_high_100_100_NJ,NJ,0.9898,-0.007,100.0,342.0,-0.0123
HKY_high_100_100_UPGMA,UPGMA,0.9898,-0.0486,100.0,342.0,-0.0133
HKY_high_100_1000_ML,ML,0.9898,-0.1271,,,0.0066
HKY_high_100_1000_NJ,NJ,0.9898,0.0813,,,0.01
HKY_high_100_1000_UPGMA,UPGMA,0.9898,0.1119,,,0.0084
HKY_high_100_250_ML,ML,0.9898,-0.1098,,,-0.0165
HKY_high_100_250_NJ,NJ,0.9898,-0.1312,,,-0.0149
HKY_high_100_250_UPGMA,UPGMA,0.9898,-0.191,,,-0.0283
HKY_high_100_50_ML,ML,0.9898,0.0222,100.0,162.0,-0.0124
HKY_high_100_50_MP,MP,0.9796,-0.0158,100.0,162.0,-0.0226
HKY_high_100_50_NJ,NJ,0.9796,-0.0158,100.0,162.0,-0.0226
HKY_high_100_50_UPGMA,UPGMA,0.9796,-0.0201,100.0,162.0,-0.0299
HKY_high_100_500_ML,ML,0.9898,0.0882,,,0.0001
HKY_high_100_500_NJ,NJ,0.9898,0.062,,,-0.0065
HKY_high_100_500_UPGMA,UPGMA,0.9898,0.0245,,,-0.0207
HKY_high_10_100_ML,ML,0.75,0.3978,10.0,151.0,0.0938
HKY_high_10_100_MP,MP,0.875,0.6678,10.0,151.0,-0.03
HKY_high_10_100_NJ,NJ,0.875,0.6678,10.0,151.0,-0.03
HKY_high_10_100_UPGMA,UPGMA,0.875,0.5702,10.0,151.0,-0.0438
HKY_high_10_1000_ML,ML,0.875,0.4452,10.0,1293.0,-0.0175
HKY_high_10_1000_MP,MP,0.875,0.2208,10.0,1293.0,-0.0563
HKY_high_10_1000_NJ,NJ,0.875,0.2208,10.0,1293.0,-0.0563
HKY_high_10_1000_UPGMA,UPGMA,0.875,0.2123,10.0,1293.0,-0.1181
HKY_high_10_250_ML,ML,0.75,0.0038,10.0,325.0,0.4236
HKY_high_10_250_MP,MP,0.75,0.3963,10.0,325.0,0.2296
HKY_high_10_250_NJ,NJ,0.75,0.3963,10.0,325.0,0.2296
HKY_high_10_250_UPGMA,UPGMA,0.75,0.3766,10.0,325.0,0.2314
HKY_high_10_2500_MP,MP,0.75,0.1207,10.0,3238.0,0.0959
HKY_high_10_50_ML,ML,0.875,-0.1738,10.0,59.0,0.0213
HKY_high_10_50_MP,MP,0.875,-0.2682,10.0,59.0,-0.0242
HKY_high_10_50_NJ,NJ,0.875,-0.2682,10.0,59.0,-0.0242
HKY_high_10_50_UPGMA,UPGMA,0.875,-0.3257,10.0,59.0,-0.0095
HKY_high_10_500_ML,ML,0.875,-0.4846,10.0,657.0,-0.241
HKY_high_10_500_MP,MP,0.875,-0.2563,10.0,657.0,-0.2136
HKY_high_10_500_NJ,NJ,0.875,-0.2563,10.0,657.0,-0.2137
HKY_high_10_500_UPGMA,UPGMA,0.875,0.2588,10.0,657.0,-0.1544
HKY_high_10_5000_MP,MP,0.875,0.4482,10.0,6806.0,0.0404
HKY_high_20_100_ML,ML,0.9444,0.2093,20.0,195.0,-0.0751
HKY_high_20_100_NJ,NJ,0.9444,0.1059,20.0,195.0,0.0128
HKY_high_20_100_UPGMA,UPGMA,0.9444,0.0268,20.0,195.0,0.0783
HKY_high_20_1000_ML,ML,0.9444,-0.0223,20.0,1590.0,-0.0894
HKY_high_20_1000_NJ,NJ,0.9444,-0.045,20.0,1590.0,-0.0129
HKY_high_20_1000_UPGMA,UPGMA,0.9444,0.015,20.0,1590.0,-0.0531
HKY_high_20_2000_ML,ML,0.9444,0.0824,20.0,3457.0,-0.0639
HKY_high_20_2000_NJ,NJ,0.9444,0.1128,20.0,3457.0,-0.0363
HKY_high_20_2000_UPGMA,UPGMA,0.9444,-0.147,20.0,3457.0,-0.0102
HKY_high_20_250_ML,ML,0.9444,-0.0165,20.0,428.0,-0.0419
HKY_high_20_250_NJ,NJ,0.9444,0.0087,20.0,428.0,0.0074
HKY_high_20_250_UPGMA,UPGMA,0.9444,0.0184,20.0,428.0,-0.0088
