name,method,nRF_distance,p_corr
HKY_high_100_100_ML,ML,0.9898,0.0089
HKY_high_100_100_MP,MP,0.9898,-0.0123
HKY_high_100_100_NJ,NJ,0.9898,-0.0123
HKY_high_100_100_UPGMA,UPGMA,0.9898,-0.0133
HKY_high_100_1000_ML,ML,0.9898,0.0066
HKY_high_100_1000_NJ,NJ,0.9898,0.01
HKY_high_100_1000_UPGMA,UPGMA,0.9898,0.0084
HKY_high_100_250_ML,ML,0.9898,-0.0165
HKY_high_100_250_NJ,NJ,0.9898,-0.0149
HKY_high_100_250_UPGMA,UPGMA,0.9898,-0.0283
HKY_high_100_50_ML,ML,0.9898,-0.0124
HKY_high_100_50_MP,MP,0.9796,-0.0226
HKY_high_100_50_NJ,NJ,0.9796,-0.0226
HKY_high_100_50_UPGMA,UPGMA,0.9796,-0.0299
HKY_high_100_500_ML,ML,0.9898,0.0001
HKY_high_100_500_NJ,NJ,0.9898,-0.0065
HKY_high_100_500_UPGMA,UPGMA,0.9898,-0.0207
HKY_high_10_100_ML,ML,0.75,0.0938
HKY_high_10_100_MP,MP,0.875,-0.03
HKY_high_10_100_NJ,NJ,0.875,-0.03
HKY_high_10_100_UPGMA,UPGMA,0.875,-0.0438
HKY_high_10_1000_ML,ML,0.875,-0.0175
HKY_high_10_1000_MP,MP,0.875,-0.0563
HKY_high_10_1000_NJ,NJ,0.875,-0.0563
HKY_high_10_1000_UPGMA,UPGMA,0.875,-0.1181
HKY_high_10_250_ML,ML,0.75,0.4236
HKY_high_10_250_MP,MP,0.75,0.2296
HKY_high_10_250_NJ,NJ,0.75,0.2296
HKY_high_10_250_UPGMA,UPGMA,0.75,0.2314
HKY_high_10_2500_MP,MP,0.75,0.0959
HKY_high_10_50_ML,ML,0.875,0.0213
HKY_high_10_50_MP,MP,0.875,-0.0242
HKY_high_10_50_NJ,NJ,0.875,-0.0242
HKY_high_10_50_UPGMA,UPGMA,0.875,-0.0095
HKY_high_10_500_ML,ML,0.875,-0.241
HKY_high_10_500_MP,MP,0.875,-0.2136
HKY_high_10_500_NJ,NJ,0.875,-0.2137
